K,alpha,best_epoch,train_rmse,train_mae,valid_rmse,valid_mae,test_rmse,test_mae
2,0.0,80,1.1213032532220453,0.9410472032538064,1.1194248718427682,0.941620075675424,1.1229733678663574,0.9424680835932371
10,0.0,80,1.1213032290684528,0.9410459469837891,1.1194246821788247,0.9416186929975251,1.1229734754685274,0.9424670536127749
50,0.0,80,1.1213031993090556,0.9410450854118761,1.1194246048227152,0.9416177546188117,1.1229737412299103,0.942466586982047
50,0.001,80,1.1213031995925118,0.941045085674215,1.1194246045208975,0.9416177548786878,1.1229737409277851,0.9424665860257033
50,0.01,80,1.12130320200562,0.9410450879050315,1.1194246019511473,0.941617757088435,1.1229737383562386,0.9424665778820283
50,0.1,80,1.1213032164451964,0.9410451011163465,1.1194245865447017,0.9416177701683914,1.122973722985936,0.9424665290100036
50,1.0,80,1.1213032246476564,0.9410451082191833,1.1194245775914515,0.9416177771978554,1.122973714213199,0.9424665005764464
