K,alpha,train_rmse,train_mae,valid_rmse,valid_mae,test_rmse,test_mae
2,0.0,0.8474551490724854,0.6662926742872003,0.9324680326253075,0.7320400025806606,0.9334566407101261,0.727110451233852
10,0.0,0.7487543891477103,0.5870916443718153,0.9354420494405155,0.7348321306157365,0.9354151106044517,0.7291642359354943
50,0.0,0.5991020071426489,0.46570952810165817,0.9423948323329991,0.7414350776858479,0.9346749695480001,0.7308108843240849
50,0.0001,0.830364691386557,0.6533531554829298,0.9198609334601822,0.7248197213289278,0.9179099413441018,0.7173389796376878
