split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_lr_all,param_reg_all
0.773596415634967,0.7678884748864997,0.7735383005412628,0.7716743970209098,0.0026771563454396244,98,0.13666907946268717,0.003805318749502098,0.17771037419637045,0.026290488381622203,"{'n_factors': 2, 'lr_all': 0.001, 'reg_all': 0.0001}",2,0.001,0.0001
0.7737129145522951,0.7678418032720798,0.7735297048027737,0.7716948075423828,0.002725511925407772,99,0.1198125680287679,0.009849686049259477,0.13937481244405112,0.00725310479411787,"{'n_factors': 2, 'lr_all': 0.001, 'reg_all': 0.001}",2,0.001,0.001
0.7741046080453269,0.7683447099611075,0.7738188480037734,0.7720893886700693,0.002650456397849359,100,0.10361234347025554,0.00296722096108276,0.14957873026529947,0.009603448446959071,"{'n_factors': 2, 'lr_all': 0.001, 'reg_all': 0.01}",2,0.001,0.01
0.777108571116414,0.7708532698439223,0.7765209075947499,0.7748275828516954,0.002820485775711849,110,0.1030736764272054,0.010671410233946039,0.1447171370188395,0.0057678240406675175,"{'n_factors': 2, 'lr_all': 0.001, 'reg_all': 0.075}",2,0.001,0.075
0.7782233626884928,0.7717635198400128,0.7775826657499361,0.7758565160928139,0.0029059808310737153,112,0.10172303517659505,0.007237285682558378,0.12954068183898926,0.0019915246198043816,"{'n_factors': 2, 'lr_all': 0.001, 'reg_all': 0.1}",2,0.001,0.1
0.822804934153292,0.8145546551916882,0.8209775755443662,0.8194457216297822,0.003538051068765632,194,0.09899663925170898,0.002781953807324628,0.15174428621927896,0.0054245603956261735,"{'n_factors': 2, 'lr_all': 0.001, 'reg_all': 1}",2,0.001,1.0
0.9188412525685913,0.9115042241001571,0.9178798564049433,0.916075111024564,0.0032558486965924473,246,0.09680851300557454,0.006043450917790259,0.15740172068277994,0.008553261356669721,"{'n_factors': 2, 'lr_all': 0.001, 'reg_all': 10}",2,0.001,10.0
0.7500895843564865,0.7462068912112211,0.7513584051428851,0.7492182935701975,0.00219148118445587,30,0.11342000961303711,0.009779558671850265,0.1783177057902018,0.013524273622324919,"{'n_factors': 2, 'lr_all': 0.005, 'reg_all': 0.0001}",2,0.005,0.0001
0.7501280629591196,0.7462674925433019,0.7515284154956302,0.7493079903326839,0.002224667302775174,31,0.12331350644429524,0.007317338048286865,0.1470642884572347,0.005527825481384257,"{'n_factors': 2, 'lr_all': 0.005, 'reg_all': 0.001}",2,0.005,0.001
0.7501796229290306,0.7467961443342898,0.7519898580160277,0.7496552084264493,0.002152506040232503,35,0.10203019777933757,0.00816936358807566,0.12921412785847983,0.001917419710356309,"{'n_factors': 2, 'lr_all': 0.005, 'reg_all': 0.01}",2,0.005,0.01
0.7532252700741213,0.748961382329576,0.7547473901263592,0.7523113475100188,0.0024489334271597628,52,0.09732715288798015,0.004449741468265571,0.13310805956522623,0.013325299389017603,"{'n_factors': 2, 'lr_all': 0.005, 'reg_all': 0.075}",2,0.005,0.075
0.7546186304862367,0.7500824176504122,0.7555925369686146,0.7534311950350877,0.0024010908546173697,60,0.09846965471903484,0.006804618066687443,0.1391129493713379,0.00952658878777169,"{'n_factors': 2, 'lr_all': 0.005, 'reg_all': 0.1}",2,0.005,0.1
0.8069292030468236,0.79919486087195,0.8057657578419472,0.8039632739202403,0.0034050671491681235,171,0.096221129099528,0.004529078906759982,0.15439184506734213,0.022001804491887506,"{'n_factors': 2, 'lr_all': 0.005, 'reg_all': 1}",2,0.005,1.0
0.9180725286202212,0.9110389921269991,0.9173583542270752,0.9154899583247652,0.0031607843263129357,234,0.10117157300313313,0.0021244137201238476,0.13597567876180014,0.013391877924342361,"{'n_factors': 2, 'lr_all': 0.005, 'reg_all': 10}",2,0.005,10.0
0.7489070539289409,0.7465124088207729,0.7506122384253062,0.7486772337250066,0.00168161899988361,25,0.10257983207702637,0.0008104292085885203,0.14749590555826822,0.01338550846672444,"{'n_factors': 2, 'lr_all': 0.0075, 'reg_all': 0.0001}",2,0.0075,0.0001
0.7479808679563527,0.7455515399458743,0.7527603123973479,0.7487642400998583,0.002994645666373731,27,0.11486101150512695,0.009645601181388581,0.13780911763509116,0.013199062569593406,"{'n_factors': 2, 'lr_all': 0.0075, 'reg_all': 0.001}",2,0.0075,0.001
0.746742783975335,0.7439042011831949,0.7521329523858432,0.747593312514791,0.00341278338858411,18,0.09372345606486003,0.00817184419901863,0.1365069548288981,0.0021941627623565585,"{'n_factors': 2, 'lr_all': 0.0075, 'reg_all': 0.01}",2,0.0075,0.01
0.7513008271265805,0.747683514200643,0.7530655127046428,0.7506832846772887,0.002240163086588697,41,0.09509078661600749,0.004943307909385273,0.1262509028116862,0.01125538226589877,"{'n_factors': 2, 'lr_all': 0.0075, 'reg_all': 0.075}",2,0.0075,0.075
0.7532124421844331,0.748809204017934,0.7545347198899186,0.7521854553640953,0.002447639604046786,51,0.10229150454203288,0.005510722772005859,0.1368443171183268,0.0073730803906465565,"{'n_factors': 2, 'lr_all': 0.0075, 'reg_all': 0.1}",2,0.0075,0.1
0.8061660250990268,0.7986191332602077,0.804940210300224,0.8032417895531528,0.00330679793579527,165,0.10191885630289714,0.004587793070174937,0.14020959536234537,0.013799586908141391,"{'n_factors': 2, 'lr_all': 0.0075, 'reg_all': 1}",2,0.0075,1.0
